fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.46117,3e-05,0.0039,0.7426,0.00039,3.84388,0.20773,6.96832,0.40986,1.8475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41377,3e-05,0.0039,0.79475,0.00039,3.49729,0.2424,9.12618,0.47269,1.8475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46577,2e-05,0.00415,0.73891,0.00041,3.9316,0.2174,5.5228,0.32949,1.95296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30503,3e-05,0.00401,0.75085,0.00036,4.96829,0.20773,7.44377,0.24919,1.17377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38993,3e-05,0.00378,0.73995,0.00039,3.84388,0.20961,6.18904,0.40986,1.90844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46108,2e-05,0.00509,0.73891,0.00052,3.9316,0.15469,5.5228,0.32669,1.81138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43287,3e-05,0.0041,0.73688,0.00038,3.93874,0.21237,7.44803,0.42905,1.73952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48563,2e-05,0.00411,0.73154,0.00042,3.9316,0.2153,5.59968,0.33289,1.98713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40852,2e-05,0.00587,0.73891,0.00055,3.58495,0.14408,4.68812,0.27936,1.57029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39683,2e-05,0.00411,0.75092,0.00042,4.17078,0.23612,5.59968,0.33289,1.98713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
